session_id,signal_type,value,timestamp
CAD02-stacked1-22,cath_signal,0.51544189,1612311768051
CAD02-stacked1-22,cath_signal,0.51605225,1612311768052
CAD02-stacked1-22,cath_signal,0.51757812,1612311768053
CAD02-stacked1-22,cath_signal,0.51849365,1612311768054
CAD02-stacked1-22,cath_signal,0.5166626,1612311768055
CAD02-stacked1-22,cath_signal,0.5178833,1612311768056
CAD02-stacked1-22,cath_signal,0.51574707,1612311768057
CAD02-stacked1-22,cath_signal,0.51635742,1612311768058
CAD02-stacked1-22,cath_signal,0.51757812,1612311768059
CAD02-stacked1-22,cath_signal,0.51727295,1612311768060
CAD02-stacked1-22,cath_signal,0.52032471,1612311768061
CAD02-stacked1-22,cath_signal,0.52124023,1612311768062
CAD02-stacked1-22,cath_signal,0.52307129,1612311768063
CAD02-stacked1-22,cath_signal,0.52429199,1612311768064
CAD02-stacked1-22,cath_signal,0.5279541,1612311768065
CAD02-stacked1-22,cath_signal,0.52612305,1612311768066
CAD02-stacked1-22,cath_signal,0.52856445,1612311768067
CAD02-stacked1-22,cath_signal,0.53009033,1612311768068
CAD02-stacked1-22,cath_signal,0.53100586,1612311768069
CAD02-stacked1-22,cath_signal,0.53131104,1612311768070
CAD02-stacked1-22,cath_signal,0.53100586,1612311768071
CAD02-stacked1-22,cath_signal,0.53161621,1612311768072
CAD02-stacked1-22,cath_signal,0.53222656,1612311768073
CAD02-stacked1-22,cath_signal,0.53314209,1612311768074
CAD02-stacked1-22,cath_signal,0.53222656,1612311768075
CAD02-stacked1-22,cath_signal,0.53405762,1612311768076
CAD02-stacked1-22,cath_signal,0.53283691,1612311768077
CAD02-stacked1-22,cath_signal,0.52947998,1612311768078
CAD02-stacked1-22,cath_signal,0.5267334,1612311768079
CAD02-stacked1-22,cath_signal,0.52886963,1612311768080
CAD02-stacked1-22,cath_signal,0.52490234,1612311768081
CAD02-stacked1-22,cath_signal,0.5255127,1612311768082
CAD02-stacked1-22,cath_signal,0.52337646,1612311768083
CAD02-stacked1-22,cath_signal,0.51971436,1612311768084
CAD02-stacked1-22,cath_signal,0.519104,1612311768085
CAD02-stacked1-22,cath_signal,0.519104,1612311768086
CAD02-stacked1-22,cath_signal,0.51879883,1612311768087
CAD02-stacked1-22,cath_signal,0.519104,1612311768088
CAD02-stacked1-22,cath_signal,0.51940918,1612311768089
CAD02-stacked1-22,cath_signal,0.5178833,1612311768090
CAD02-stacked1-22,cath_signal,0.51544189,1612311768091
CAD02-stacked1-22,cath_signal,0.52062988,1612311768092
CAD02-stacked1-22,cath_signal,0.51879883,1612311768093
CAD02-stacked1-22,cath_signal,0.519104,1612311768094
CAD02-stacked1-22,cath_signal,0.52246094,1612311768095
CAD02-stacked1-22,cath_signal,0.52307129,1612311768096
CAD02-stacked1-22,cath_signal,0.5255127,1612311768097
CAD02-stacked1-22,cath_signal,0.5255127,1612311768098
CAD02-stacked1-22,cath_signal,0.52307129,1612311768099
CAD02-stacked1-22,cath_signal,0.52276611,1612311768100
CAD02-stacked1-22,cath_signal,0.52185059,1612311768101
CAD02-stacked1-22,cath_signal,0.52185059,1612311768102
CAD02-stacked1-22,cath_signal,0.52307129,1612311768103
CAD02-stacked1-22,cath_signal,0.52001953,1612311768104
CAD02-stacked1-22,cath_signal,0.51818848,1612311768105
CAD02-stacked1-22,cath_signal,0.52032471,1612311768106
CAD02-stacked1-22,cath_signal,0.519104,1612311768107
CAD02-stacked1-22,cath_signal,0.51849365,1612311768108
CAD02-stacked1-22,cath_signal,0.5178833,1612311768109
CAD02-stacked1-22,cath_signal,0.5178833,1612311768110
CAD02-stacked1-22,cath_signal,0.51696777,1612311768111
CAD02-stacked1-22,cath_signal,0.51696777,1612311768112
CAD02-stacked1-22,cath_signal,0.51574707,1612311768113
CAD02-stacked1-22,cath_signal,0.51940918,1612311768114
CAD02-stacked1-22,cath_signal,0.51452637,1612311768115
CAD02-stacked1-22,cath_signal,0.5166626,1612311768116
CAD02-stacked1-22,cath_signal,0.5178833,1612311768117
CAD02-stacked1-22,cath_signal,0.519104,1612311768118
CAD02-stacked1-22,cath_signal,0.51574707,1612311768119
CAD02-stacked1-22,cath_signal,0.51544189,1612311768120
CAD02-stacked1-22,cath_signal,0.51513672,1612311768121
